index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obs_pos_x,obs_pos_y,obs_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
0,0.0,-1.3,1.7,-0.0007956920697244818,0.0007969603417828076,-0.0007956920697244819,0.9999990493007851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.9999,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,16.825155429096185,16.825155429096185,0.0,0.0
650,-0.02374076356640226,-1.3075076479255945,1.2362780650866352,-0.226818289749392,-0.06501914182138069,-0.021812501084569638,0.9715195260149987,0.4483622742128396,0.16161327187706226,-0.021942150457348316,-0.008732177528550274,-0.062327284791630314,-0.08625187765749383,0.06117994236936523,0.1500045922703634,0.09988611601805658,0,5.934900000000152,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,14.213122405696915,12.831122405696915,1.3820000000000003,2.1777785956289293
1300,-0.028804020993116235,-1.318313224453233,1.2460653122051617,-0.24191530967603414,-0.05655105612161135,-0.02324750935310354,0.9683689969762334,0.4763404799208145,0.1628896192520893,-0.023283451191031958,-0.010915382526251355,-0.06281262446886857,-0.07251125659229221,0.07110580565923087,0.15000113536837595,0.10000040272743843,0,5.869900000000303,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,14.444971912541913,12.932971912541912,1.5119999999999998,1.6201529510099206
1950,-0.034331011803453874,-1.329732251065988,1.2547808704343697,-0.2560203213785693,-0.051616458387542245,-0.025429880969992134,0.9649573345068647,0.5000778618512741,0.16843778344917676,-0.026331620763854487,-0.010396097084087754,-0.061870524229857136,-0.06930730623530343,0.09615802338394928,0.15000340861496128,0.09900382280884892,0,5.804900000000455,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,14.559771895788788,12.905271895788788,1.6545,1.3113296172458409
2600,-0.03513941426899252,-1.3349652774478185,1.2645245001882686,-0.26204067330546377,-0.04360483104777431,-0.024278788284483876,0.9637654510732119,0.5000498229969352,0.18171930804789801,-0.03237022635963644,-0.009061508818548062,-0.06053538923725042,-0.06283702520890838,0.12197078308806124,0.14998497245755218,0.09941067806164318,0,5.739900000000606,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,14.656819092010615,12.969319092010615,1.6875,1.9885374181568345
3250,-0.039450405424398795,-1.3438752108616998,1.271939179774406,-0.2691890580758795,-0.04406058287553488,-0.026178662004137463,0.9617227218406363,0.5000789648202334,0.19719037679651558,-0.03329511690989614,-0.009442461464961083,-0.058773818014632946,-0.06135074919191981,0.1511738694788859,0.14880233402723225,0.09951348391286934,0,5.674900000000758,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,14.851978698712394,13.085978698712394,1.766,1.6285176498348015
3900,-0.04892996153361722,-1.3527657814886336,1.2723749582422712,-0.27389009439692524,-0.054607625708931636,-0.03153966985233804,0.9596913423759131,0.5000762176377836,0.20713767621313078,-0.027655351284634207,-0.008538683973212873,-0.06372910613412482,-0.060741183147093626,0.17942865110331618,0.14643740088246598,0.09978709483531761,0,5.609900000000909,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,14.92773499890925,13.09173499890925,1.8359999999999999,0.5102837179905624
4550,-0.05649498997397377,-1.3601582068471323,1.274043437818077,-0.2783206591323983,-0.06128136447268343,-0.0357289905648414,0.9578651493303695,0.500064682965856,0.21628242898493258,-0.023689348045972267,-0.0077587807959591405,-0.06823022722474785,-0.04880639001712408,0.20000186212436938,0.12636354222978044,0.0999563388809457,0,5.544900000001061,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,15.042628642844905,13.176628642844905,1.8659999999999999,1.5144342573452345
5200,-0.0583122565838478,-1.3611791411569851,1.279085814996143,-0.28070722084798955,-0.054981346912612285,-0.03555720308504636,0.9575574097484922,0.5000023476598184,0.21924175917912297,-0.023253760196807277,-0.00912120887528243,-0.06959988405808697,-0.004117742328791941,0.20000243604931853,-0.062283856989439675,0.09956445166526001,0,5.479900000001212,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,14.980925017083091,13.19392501708309,1.787,1.1457666984844153
5850,-0.06388399886739614,-1.361852119547571,1.2759888559615218,-0.2800912644397002,-0.06008991840710068,-0.038413950874934016,0.9573204550559735,0.49997883538146204,0.21911472099265125,-0.022714358265441,-0.008361400620660382,-0.07047525521642357,0.017965090531810564,0.20000145127618651,-0.12015026424715076,0.09956726257394499,0,5.414900000001364,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,15.057196852160804,13.214196852160804,1.843,1.561577728597058
6500,-0.07645048115893475,-1.4054296931759667,1.3103526591057484,-0.31360043517472563,-0.06287679047218273,-0.04426142177380278,0.9464365815101937,0.5000260046477518,0.2874831581090878,-0.016575233811797874,-0.009544248049307221,-0.07308735027459216,0.02404370731974947,0.19972438284495478,-0.15000210144761503,0.09946814130735401,0,5.349900000001515,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,15.299773137741015,13.237773137741016,2.062,2.081379861674181
7150,-0.0855207227061123,-1.4484028012221868,1.3602392492662074,-0.36096421608890866,-0.06235693106465244,-0.04947333910886344,0.9291764291935828,0.500005740588183,0.38735571260696045,-0.013325685324856425,-0.010271247435252621,-0.07432396295672744,0.02423720960632721,0.19942372937899283,-0.15000202633349136,0.09939141113946642,0,5.284900000001667,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,15.797444272122181,13.39694427212218,2.4005,0.7328728454525724
7800,-0.09045693679823485,-1.4547847815480184,1.3695386137092622,-0.36920160963180404,-0.06237186120442574,-0.051844401289508665,0.9258034782987765,0.5008185875458769,0.4001771444594535,-0.007785113846914312,-0.011181422099177246,-0.07347931984516516,0.037447565231775545,0.19983313534915123,-0.15002066442304182,0.09895118689287344,0,5.219900000001818,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,15.818185694799567,13.372185694799565,2.4460000000000006,2.215686794821586
8450,-0.09530179094819173,-1.4557205538593552,1.3687466275837061,-0.3698016126775144,-0.06562875605503489,-0.05476635547154106,0.9251704058972828,0.5007192689481497,0.40000351531840567,-0.003716406893576161,-0.01119416914813908,-0.07199494266780529,0.09813488513801427,0.11414821651164961,-0.15000112828405576,0.09818907050273898,0,5.15490000000197,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,15.829680692183253,13.481680692183254,2.348,1.1541405714506574
9100,-0.09754332737130858,-1.4547812186686002,1.3691038999327825,-0.3696785663031052,-0.0632463618840421,-0.05538849064465891,0.9253484589216215,0.500882517618812,0.4000596168654575,-0.0056893043531826525,-0.011220199841758578,-0.0730941631520672,0.17934722953004545,-0.004979530110085196,-0.15000648853965887,0.09738662830500437,0,5.089900000002121,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,15.8627609255779,13.4627609255779,2.4000000000000004,1.6852871628233306
9750,-0.09909769326055548,-1.4544135133464053,1.371838818311839,-0.3703197570107031,-0.060205018877478145,-0.05561441383009331,0.9252814005716485,0.5006608451429192,0.4000112850550992,-0.00598479151202937,-0.011185166508537521,-0.05507445956688882,0.2000120528485865,-0.050831180732494145,-0.1500086934097997,0.09746406217525505,0,5.0249000000022725,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,15.943358978277391,13.49935897827739,2.4440000000000004,2.2245290320848383
10400,-0.09857043773852353,-1.454213892728284,1.3759556084622957,-0.3712708025358361,-0.055871152959436295,-0.05462786906694913,0.9252308908443253,0.5006364210186911,0.4000045278454717,-0.006805293355923463,-0.011126346348992164,-0.029885070300526315,0.20001746598949158,-0.07615999602753108,-0.15002039139321052,0.09782192271895807,0,4.959900000002424,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,16.047542625900164,13.597542625900164,2.4500000000000006,2.379320989914188
11050,-0.09770716762707696,-1.453878216762738,1.3795592777823265,-0.3719884328193425,-0.051906622857142565,-0.053566317501374264,0.9252356229531578,0.5004912932249366,0.4000060320237297,-0.007790586364127122,-0.011049090764127545,-0.004709438799623967,0.20000435527215055,-0.10417773561968616,-0.15002198478122034,0.09743078853516775,0,4.8949000000025755,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,16.17482178988227,13.711321789882268,2.4635000000000002,2.1505104683223486
11700,-0.09782614725574906,-1.4530840642971106,1.3793306836677008,-0.3717325144818007,-0.051103749723653336,-0.053873102911580005,0.9253653512121027,0.5004196753768134,0.4000064094679072,-0.008747717407700207,-0.011037241614017677,0.02163892319767522,0.20000668452210962,-0.14824354601115888,-0.15000672652665936,0.09652371063266676,0,4.829900000002727,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,16.268538134805183,13.740538134805183,2.528,0.6511630783874907
12350,-0.09651990963809533,-1.4504142960405517,1.3731246604721878,-0.36947369594838303,-0.05258630908432753,-0.055406579827089776,0.9260960959916599,0.5008475404730085,0.4000861717718492,-0.01293248134408523,-0.011181871386729329,0.04827010814355984,0.19859955533336157,-0.20003591281888664,-0.15000654393873922,0.09606085254293392,0,4.7649000000028785,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,16.45400547022901,13.82800547022901,2.626000000000001,1.2738651644600516
13000,-0.09987276592849542,-1.4521993171983034,1.3780164921691147,-0.3722197494226003,-0.052486694926198896,-0.05757257288636521,0.9248691820180543,0.5010751529124572,0.4000085660157288,-0.004135729165015241,-0.009770857529630942,0.07384304137909246,0.16715349340903052,-0.2000459228113805,-0.15000927738296704,0.09638283006460494,0,4.69990000000303,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,16.466252916406795,13.884252916406794,2.5820000000000003,0.5510975163859264
13650,-0.10351740316091222,-1.4521862412749067,1.3727164772231433,-0.3723007068071245,-0.06122399561550813,-0.06450687929905344,0.9238412572487142,0.5008651515817815,0.40004059792884594,-0.00033618093626687793,-0.010352989223719274,0.2115368858122902,-0.04556764991303726,-0.2000525614517027,-0.1500032525371484,0.09623469762408192,0,4.6349000000031815,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,16.51600271105509,13.870002711055092,2.6460000000000004,2.1415675080847514
14300,-0.10223531146649054,-1.451757807408293,1.3737254501382985,-0.3724118060891938,-0.05976356341361265,-0.06405135760943124,0.9239237992182475,0.5007974621920134,0.40002964320583556,-0.0009670501057209663,0.00668630133261027,0.2500040291702949,-0.1228877488320489,-0.20000534954814517,-0.15003113321996642,0.09681175111261545,0,4.569900000003333,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,16.79388707532015,13.996387075320149,2.7975000000000003,0.5381486978869958
14950,-0.0998259064537479,-1.4516548961610392,1.3778574140143203,-0.37326062163403356,-0.05550339549583361,-0.062176229876092004,0.9239751067340523,0.5006942458560067,0.40001318887661086,0.0009454254243538455,0.027501078718908143,0.2500076576838001,-0.15287231042098123,-0.20001165919393954,-0.15003021385506066,0.09723015656395784,0,4.5049000000034845,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,16.9009107216707,14.058910721670703,2.842,2.2041290480652407
15600,-0.0931320852538103,-1.4518960599414283,1.383152537088255,-0.37424975554295403,-0.05029452421677723,-0.05831665922547119,0.9241248555074295,0.5006364128029496,0.40002383183431317,0.003435460220571906,0.04417884054761066,0.25001494060471524,-0.17795133156879972,-0.20002367204642538,-0.15002231261424764,0.09723402933041046,0,4.439900000003636,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,16.953166667384856,14.058166667384857,2.895,0.18132887247636376
16250,-0.08647289037573622,-1.451534459938322,1.3862656515725535,-0.374656011836651,-0.045970211248650736,-0.05501693674463332,0.9243877699015964,0.5010131748080838,0.40007584595703305,0.010512501560264528,0.058017208836451305,0.239837469798917,-0.20023665618811667,-0.20008721866068724,-0.15013254749321206,0.09774668791010248,0,4.374900000003787,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,17.12098043798996,14.201980437989961,2.919,1.6304360668524431
16900,-0.08149847652707962,-1.451836407854443,1.3912950316426977,-0.3756870497841848,-0.04122507294410686,-0.05190269779673502,0.9243732168051113,0.5008439866647221,0.400056522337977,0.03090269091903932,0.0618646781786548,0.208304166403118,-0.2001866649364343,-0.20004507840379046,-0.15008468869896313,0.09888449772724474,0,4.309900000003939,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,17.128093333171147,14.272593333171146,2.8555,1.1545561064196121
17550,-0.0758676413512654,-1.4515423301286887,1.3931170390208587,-0.37585322382152836,-0.038822549109456386,-0.049776501206248915,0.924526616031833,0.5008756627372088,0.4000147097256788,0.05610122665201493,0.06428967752099764,0.16590110948519698,-0.20012548180277173,-0.2000147227573746,-0.15006933292934516,0.09963465803258517,0,4.24490000000409,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,17.188207875929976,14.395207875929975,2.7929999999999997,2.4738502475660766
18200,-0.06902311751005197,-1.4499014538903268,1.3889649766372767,-0.37420750140474773,-0.04088040914927113,-0.049759057720565325,0.9251062502301913,0.5006700785616431,0.4000149548826632,0.07351157704424553,0.06770131224569369,0.12654175924357505,-0.20011250527324181,-0.19999523278661377,-0.150047950132059,0.10001528468390454,0,4.179900000004242,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,17.148884510272563,14.402884510272562,2.7460000000000004,2.5799098608245714
18850,-0.05588027548441353,-1.4445533665649244,1.3718030274990154,-0.3680738323545582,-0.049993547925849965,-0.05193863536125391,0.9269976684212453,0.5005482049277831,0.4000573648334212,0.09528556599193709,0.07189850150647871,0.058239450398758094,-0.20014073503328184,-0.20000237988813432,-0.15005373862722754,0.10001630209373487,0,4.114900000004393,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,17.141974315680407,14.43697431568041,2.705,1.3568042551632047
19500,0.005853898092127376,-1.4356850563379477,1.3582634908182483,-0.35678179313625014,-0.060032780714216076,-0.04193567479024465,0.9313131677937811,0.5000193234352602,0.3830246472515029,0.11837614882675428,0.09449553197899815,-0.04165840393782386,-0.20000697568602707,-0.2000002094012655,-0.1500011112847289,0.10000004477268727,0,4.049900000004545,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,16.973658638245276,14.318658638245275,2.6550000000000002,2.112944506640911
20150,0.018543081985357226,-1.4233107224034895,1.3444259092123503,-0.34983923372310105,-0.07777987947683385,-0.048038500936291556,0.9323385132688644,0.5000330640489873,0.38779865975894606,0.15037813521027463,0.0948456958511831,-0.1411991290648598,-0.2000060849836367,-0.1993070798521121,-0.14855956268716616,0.0996935429662672,0,3.9849000000046293,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,17.21348647923098,14.389486479230982,2.824,1.4427786171162928
20800,0.020210408278897408,-1.4199993020853028,1.3482250498253756,-0.35300831053630416,-0.07615177898812675,-0.04751864476805437,0.9313044709699697,0.5000382265305168,0.3950270785806358,0.15565546928659324,0.0966732995591842,-0.15279785855413427,-0.2000076078192235,-0.19932867859263256,-0.14649953547349226,0.09910858607771186,0,3.919900000004492,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,17.456658493235786,14.553658493235787,2.903,1.4497135020563228
21450,0.07265786614939941,-1.3997992192595619,1.3509515137764936,-0.3562452115231447,-0.08576765755647452,-0.04117318010589492,0.9295364583619476,0.5001359476388588,0.38826215530291486,0.1930367666446961,0.13361215191360992,-0.2500873637297171,-0.2001461587158037,-0.200015250774317,-0.1501183836234241,0.09954313270206167,0,3.854900000004355,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,17.492498895955347,14.341998895955347,3.1504999999999996,1.88653300873953
22100,0.0906326225794332,-1.3951061971256966,1.3477068512827333,-0.3543353564686989,-0.091220500331867,-0.040407307969449385,0.9297809015773909,0.5004923495834159,0.40006279257889826,0.20605876682900992,0.09002334889420112,-0.25013347328801516,-0.20019815960929155,-0.20002196680885023,-0.15015960877246082,0.09872743324231922,0,3.789900000004218,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,17.59743784622662,14.411437846226619,3.1860000000000004,2.4415743837531423
22750,0.09928485934886423,-1.3917135618641163,1.3426352170080122,-0.3508483591852473,-0.09714892064005527,-0.040935771025063496,0.930479327403933,0.50057454420886,0.4000633506907444,0.23677297438907152,0.035340594002108754,-0.2500983732584904,-0.20014558513592715,-0.20000361507904246,-0.1501174835541739,0.09860969309678802,0,3.7249000000040806,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,17.642133210656645,14.421133210656647,3.221,1.9792881393779105
23400,0.11764513897962547,-1.3847331924945574,1.335041795364023,-0.34508678012345023,-0.10523811370614188,-0.03982013749336398,0.931801701145481,0.5004605431592009,0.4000053533635462,0.2706184701034877,-0.03199841989032715,-0.2500674361620295,-0.20011641682805284,-0.20000911131100063,-0.1500981693638912,0.09721653169806206,0,3.6599000000039434,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137,17.637724861610852,14.343724861610852,3.2940000000000005,2.9428673465672546
24050,0.1371461727038255,-1.3785292952288137,1.3330078546835709,-0.3428890877827833,-0.10708869970008951,-0.03651564198883874,0.9325372334476397,0.5002280991193858,0.3999965734132003,0.2754749900879854,-0.040702006756734285,-0.25004382579029893,-0.2000297797097434,-0.19999921015779798,-0.13419566452522377,0.10001003113124707,0,3.605100000003828,1.7576500000000048,-3.8988488767443755e-05,-0.0489604026587709,0.9988004029010306,0.000795371691708279,17.716564360204107,14.419564360204106,3.297,1.6153702868452022
24700,0.2986932921140919,-1.3055062442109653,1.2680898545148962,-0.25651779053412754,-0.11354939652187893,-0.0045609552366061646,0.9598355876796485,0.5013007447832097,0.40001168222905914,0.27821946202241976,-0.2502971590232727,-0.2502556783140493,-0.20023986204002994,-0.2000066942053599,-0.150165662493364,0.10005285844427755,0,3.670100000003965,1.8551500000000662,-2.864565353047352e-05,-0.03597222604962176,0.9993524727626408,0.0007958113198246621,18.921507866376295,15.292007866376295,3.6295,2.492896334804943
25350,0.3689434469105712,-1.235389664418976,1.2450363111972351,-0.14707747210869307,-0.11256263499936649,0.01409054708905857,0.9825982530428431,0.5004237451840486,0.4000670151056835,0.035218492575509915,-0.2500394217590309,-0.2501532947941182,-0.20020461619492155,-0.20001869861279933,-0.15014564971483213,0.10004830656764395,0,3.735100000004102,1.9526500000001277,-1.8297977246235297e-05,-0.022977970219886654,0.999735654434883,0.0007961164577220815,19.803764930000714,16.558264930000714,3.2455000000000003,2.0202463301629336
26000,0.4705825263060161,-1.1362021319498716,1.2186881501132654,-0.016964498617062885,-0.1134710728507155,0.036833700601967764,0.9927133523393065,0.4670175769810076,0.39997602086649525,-0.20563697806826484,-0.2500911740055383,-0.2502342802213183,-0.20031264941257323,-0.20012716364264005,-0.1501796516437279,0.1000538443798484,0,3.8001000000042393,2.050150000000189,-7.947208647392929e-06,-0.00997983116787357,0.9999498831609666,0.0007962870538329588,21.073257546783292,17.760757546783292,3.3125,2.320369660086566
26650,0.571969988446247,-1.0465942599253373,1.2889341736730784,0.0748788166666331,-0.1297951574623044,0.04785222334840234,0.9875507807877805,0.4781024514686665,0.28850160276571557,-0.300026798081971,-0.2501700649323211,-0.2503687294501318,-0.20045872750794896,-0.200150385037175,-0.15029195485266345,0.10008178214945987,0,3.8651000000043765,2.1476500000002505,2.4049030107963124e-06,0.0030199944518546607,0.9999951227367464,0.000796323079326957,22.50776486067363,19.297764860673627,3.21,0.8153278957992214
27300,0.5972206636584814,-0.9400359056190005,1.3537033234693687,0.21514305314972626,-0.11640100950366564,0.06762579619642144,0.9672595429132461,0.47964321386618675,-0.012905947379411142,-0.3000249769047562,-0.2501644745410619,-0.250313716646842,-0.20034049351625152,-0.20000998931273709,-0.1502154101168835,0.10006911895647357,0,3.9301000000045136,2.245150000000312,1.275660824610036e-05,0.01601930969970807,0.9998713655168422,0.0007962245281158538,23.635045161988565,20.845045161988565,2.79,1.9004189431661374
27950,0.5847895168968635,-0.761141218661368,1.4486507369135502,0.37201525436904875,-0.0926279518362689,0.08581758688172138,0.9195977679600729,0.4775547350032864,-0.364531140567287,-0.3000834889108793,-0.25023235516740583,-0.250417753308304,-0.20040083246002827,-0.20001830262765824,-0.1502529985002136,0.1000765080520792,0,3.995100000004651,2.3426500000003734,2.3106157644972267e-05,0.02901591772234909,0.9995786324159294,0.000795991416854569,25.96608524672948,22.52858524672948,3.4375,0.0
