index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos
0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.2250689522173276e-38,1.555782394042443e-37,2.993871523275145,-3.358871679465595e-19,2.115114584753812e-19,4.781443049855598e-38,1.0,7.837560851171822e-39,-2.822034661555868e-21,3.010949103134352e-39,6.018531076210112e-36,2.844072663003588e-41,-1.6690967944874353e-20,2.100825155804397e-37,3.247554714787825e-19,1.5575859298669154e-37,3.0596755444264967e-19
16,7.160775920715652e-37,3.9509324328637924e-36,2.9768630882347153,-1.4167733714241786e-18,6.822725436451615e-19,9.06572597993749e-37,1.0,2.7972163706579264e-38,-5.299332173248608e-21,9.453735890666451e-39,8.375789081059072e-36,9.39213256982332e-41,-1.583752517454688e-20,8.096273493310485e-37,4.2392899003891874e-19,6.550093107137587e-37,3.8296467831307165e-19
24,2.6849509831716092e-36,1.7022251454625176e-35,2.949003375198647,-2.9894559993614626e-18,1.3142707497900188e-18,2.727014282079223e-36,1.0,1.1996825474465146e-37,-6.891461507209061e-21,3.740860168737737e-38,1.319061394202716e-35,1.3664409096150628e-40,-1.5513638254137044e-20,3.1896485165171614e-36,4.967205534834588e-19,2.8483443804491052e-36,4.41314519159806e-19
32,5.59819882588223e-36,4.257181456660738e-35,2.910330383387069,-5.008837788848997e-18,2.1721412084424617e-18,5.9645719725577814e-36,1.0,-6.278110747265124e-38,-8.695999339068627e-21,-5.320620230179752e-38,2.0613468936019633e-35,1.952127463957464e-40,-2.6843517907446595e-20,4.6918129528456694e-36,6.728664757047058e-19,4.0862435387806415e-36,5.930313199891868e-19
40,8.46201162772317e-36,8.395816568415032e-35,2.8608913012281474,-7.81548696506659e-18,3.2660835498948185e-18,1.4928476344685418e-35,1.0,1.9124594818671837e-37,-1.0850857816579963e-20,3.672560597604658e-38,3.104558946811716e-35,2.985219283938889e-40,-2.7008114855026217e-20,1.2040406866111725e-35,7.741793965557526e-19,1.0818585832497703e-35,6.758796756551635e-19
48,1.2813085846472925e-35,1.439745477929341e-34,2.8007423458539797,-1.1116727280315769e-17,4.570835558577312e-18,3.2976008580245897e-35,1.0,1.1678259394224715e-36,-1.3397799329250635e-20,4.11742374465049e-37,3.244991338589952e-35,4.12220616523589e-40,-1.8958909336068366e-20,2.1811339365266232e-35,8.334265773142347e-19,1.9543604965645424e-35,7.249712420174726e-19
56,1.4785033092509113e-35,2.1790250351718105e-34,2.729948572939697,-1.4851054181024966e-17,6.254490288915966e-18,6.49699121806148e-35,1.0,2.4622227787471714e-36,-1.6000348289972485e-20,9.196422383379065e-37,4.4888210943400417e-35,4.8191988625186656e-40,-1.1939088575781851e-20,3.541871442286672e-35,8.868658598376444e-19,3.244225843855649e-35,7.577129035869221e-19
64,2.6695250577199524e-35,4.363553344392453e-34,2.6485836582429436,-1.923420669789101e-17,8.20999637929902e-18,1.1901076419386243e-34,1.0,4.4430481564158006e-36,-1.8804561571607845e-20,1.6794762051229474e-36,5.271230134247357e-35,5.242424947989178e-40,-1.400204971669319e-20,4.6120638668770686e-35,1.01127489634068e-18,4.090619760206816e-35,8.47113939701172e-19
72,5.236728455257526e-35,7.185664183527225e-34,2.556729652386376,-2.431767263813647e-17,1.0427276638534008e-17,1.932677890135296e-34,1.0,4.1162742872245435e-36,-2.1394409147541242e-20,1.4763211213935661e-36,5.431724296279627e-35,5.596819459359566e-40,3.66765603218356e-21,6.359737691467251e-35,9.555447524584463e-19,5.739969059150171e-35,7.752336061539186e-19
80,-0.00012366488637095984,-4.3048676480518085e-05,2.454999499480059,-0.0007665637535941743,0.0007715491471223725,-8.178308189856752e-05,0.9999994052015495,-6.414832721518053e-07,0.001382950577317908,-7.967062152745814e-07,1.5996064027361904e-08,-6.867897356199923e-07,-0.00021845248861732136,-8.142108381247509e-07,-5.5101507804825745e-09,-0.0020211345154821387,0.02562256302814723
88,-0.00106027670091812,-0.00028869007784630484,2.3462073380980075,-0.0050758590108579945,0.005914899672902818,-0.00097745927643383,0.9999691466192966,7.431798565373499e-08,0.00587998075012516,-2.609878401380736e-07,-3.600388349687659e-08,-3.1796292955339204e-07,-0.00021891265106459794,1.853258370147852e-06,1.199243306954629e-07,-0.007474357295243202,0.1740062061160087
96,-5.566438220751927e-05,-0.00178025049307125,2.2315656407942073,-0.0019088760673550758,0.013501113220470248,-0.006040495257539608,0.9998887880914613,-0.0442740642200192,0.08227835263804373,2.578073396062963e-08,-5.519086694206186e-09,0.00010939054866231081,-0.00021906615364966612,9.54028517601602e-05,0.0013056888139307203,-0.0074741492365010525,0.3391399342243476
104,0.001881737015917952,-0.0022381501053608715,2.1085975097796856,0.001158653986078924,0.021414597034445985,-0.014109055538137542,0.9996704492514594,-0.07739599608260186,0.1621865132465595,2.709663608326119e-07,1.221315982244706e-07,0.00010936870768976168,1.8341592012629843e-05,0.003421728645973168,0.03969746717839423,-0.007474325247235122,0.4923697963228149
112,0.004452855328568501,0.0017866611195138144,1.980541128323931,-0.031477513743516004,0.03948444317118441,-0.026814498609325835,0.9983642258916927,-0.08558812309160929,0.33920527698813097,0.007242918282525048,0.031110277039954108,-0.016082219135654566,0.03542635452803482,0.017082439440407927,0.14179844373887068,-0.02394862369465355,0.5018663395549945
120,0.006978785212644487,0.008902318960393443,1.84666540991022,-0.0632577809662707,0.05749252617862767,-0.04223361860788061,0.9954443148866275,-0.08794677928040413,0.5430036523212443,0.014207860171956669,0.0828175470161714,-0.02421517888959621,0.09304681307920105,0.018459215519066905,0.24384780478556117,-0.02501319607716264,0.5003141094930639
128,0.010067395218567254,0.01900676144987181,1.708178679839995,-0.08644261978492089,0.07639675101262632,-0.05815108661380676,0.9916197159420883,-0.08752175640997845,0.7627869411610404,0.014206791239959504,0.08742692017182795,-0.02421235690881554,0.1788494122211987,0.018455559213363174,0.3533077969840947,-0.0261647225477573,0.5000643106919346
136,0.013652167365209678,0.03176353860086667,1.563598430333616,-0.10116228651085725,0.09537815414399979,-0.07384815372979103,0.9875300753347616,-0.08744634880535836,0.965782682897718,0.014206275009652247,0.08743002150261807,-0.024231485378322544,0.24687130381155054,0.018454137203158884,0.4609250084573221,-0.026157991748728175,0.5000108058133821
144,0.017559585965990537,0.04922464898971445,1.4177174975210431,-0.13163682969770898,0.10039537692624721,-0.08589706576903373,0.9824531578916337,-0.15822914158379567,1.1952355741255472,0.02466776872000824,0.22583347863927636,-0.023718347529827797,0.3649487995411901,0.010101369170753516,0.5018838620712901,-0.018143945896205587,0.4744926822838805
152,0.02308475057727652,0.06739164474719918,1.2711443253422487,-0.16213426029606284,0.10841696326155963,-0.10133523280187073,0.9755457007789952,-0.3055441813844135,1.4075446573535626,0.02457674021018093,0.46637123521160645,0.01700180275390299,0.5167178694481329,0.006553628121735977,0.5003170918247424,-0.021868446042223898,0.4713949555275695
160,0.029205091512258897,0.08493882858778269,1.1547910904779095,-0.11823162417758663,0.11424551239962158,-0.12273177434270051,0.978726804326708,-0.38102075792865564,1.4348224624983268,0.04234231094916949,0.5849937921238839,0.1953219987317963,0.5205295145087885,0.006299744550761166,0.5000509201980202,-0.03497454439424344,0.5024395304738135
168,0.033853676860002284,0.11461110217031441,1.09596581327326,0.0012557085977343075,0.11988510262863165,-0.14815679357291625,0.9816697763921595,-0.29971866220224647,1.2876228292599832,0.18088565197145148,0.5849588827544783,0.1537853447464243,0.5085545228402862,0.005629079878491708,0.5000057031865458,-0.04460827657133893,0.5004059157625546
176,0.0406592277127227,0.1485025291738658,1.0427206257481465,0.09456888389759345,0.12362989413985631,-0.16954679990271992,0.9731527414111715,-0.3197958203797435,1.1756472314495194,0.29038169751207804,0.5849655113598853,0.1339270573345771,0.5010248265741457,-0.011231072426739298,0.5020101501836359,-0.03275677698692857,0.4571351833064021
184,0.04835279917754256,0.19329683858147229,1.0117081473425282,0.11964196914016406,0.11985436381370625,-0.1868501104737823,0.967681645434598,-0.49012941253970393,1.1848735026079746,0.35526120029705655,0.5872526892325004,0.07404823072346817,0.500451375724776,-0.042289845429754856,0.5010206647513757,-0.0018751374508548047,0.37858636870408413
192,0.05550244067793682,0.22964538412986776,0.994066875864036,0.14574914546263568,0.12251449839586434,-0.21903454873011763,0.9569593777910925,-0.5024487594962703,1.1786634517607795,0.43712310827016687,0.5887235892156433,0.05692258638456668,0.5003627174944424,-0.0935581317505274,0.500518997070494,0.04599607093295673,0.4401145081729526
200,0.06240519879860412,0.26139934335961995,0.9786148255049799,0.1721816283957096,0.12773852910338618,-0.24493354131365047,0.9455389549696297,-0.5002101144735648,1.1672202899991413,0.5074507835077054,0.5913274118703594,0.08328659165567862,0.5004357990246266,-0.12467831281123434,0.5023542722151804,0.05556822216389259,0.4719677512192248
208,0.06622565083790993,0.2858624100325134,0.9809821271605014,0.18642677669251723,0.12813146418080384,-0.2527189498502408,0.9407234010087733,-0.4999900462958937,1.1575040737435611,0.5013586505925679,0.5920047962357814,0.1193850682453845,0.5001909740490563,-0.12237227935413732,0.5004636726143128,0.046628781749519614,0.4709736413370021
216,0.06874075375959869,0.3092986904313153,0.9758746886164124,0.20701734145367823,0.12873256386341467,-0.25518284344565106,0.9356567018675148,-0.4999796001847079,1.1384640783439135,0.5003079112361676,0.5922041841574774,0.125714147914238,0.5001178363446103,-0.12240291377125063,0.5000863887640075,0.04657138737695324,0.47096028262510387
224,0.07131499534921762,0.3273172084942708,0.9772661780091557,0.2149438653434059,0.1298295128481329,-0.2545589617375118,0.9338860569384106,-0.5008995846053562,1.137890076356391,0.5001692595461416,0.5930369031612154,0.1370024733747594,0.5002075560993602,-0.14863672308080694,0.5000814656979408,0.04669450147364761,0.46266798401368986
232,0.0729557722726506,0.33810998865064695,0.9800931875161353,0.2186947480336795,0.13035456192121242,-0.25475412031093386,0.9328883285546113,-0.5001269861670125,1.1362822506306154,0.5001221661434692,0.5936237419039432,0.14661938472626007,0.5001736344800725,-0.1542904611705261,0.5000867854527068,0.046712414508839895,0.4626485960662409
240,0.07407738195457045,0.3438542252653833,0.9813237070400692,0.22017353001569773,0.1307000618274846,-0.2538417453767363,0.9327408422615633,-0.4999927104894857,1.1360911190386638,0.5001529316709201,0.5940641146749284,0.1490828689959051,0.5001482984398742,-0.15430170808210966,0.5000362603102756,0.04670294106033823,0.4626497623815675
248,0.07444189305941631,0.34520318642121145,0.98141870186857,0.22030885666045247,0.13077876136540714,-0.25297965995768146,0.932932052670713,-0.49997208572893814,1.1354419862238527,0.5001518979702718,0.594523294362773,0.14872551365880635,0.5001706468809566,-0.15432162278018002,0.5000204158566782,0.046674767383467,0.46265631597978313
256,0.07453872944152752,0.344646155144169,0.9811591224093412,0.22002610471805642,0.13075152506351687,-0.2527504598183283,0.9330647121168966,-0.49995415248886504,1.1348914776402637,0.5002025794402342,0.5948307772279591,0.14862621146830676,0.5001316001551656,-0.15434426255082254,0.5000074607142756,0.04664367485853726,0.46266115993763157
264,0.07471211909930255,0.3432974623799548,0.9806014605376292,0.21946579455632487,0.13060956499372522,-0.2522075308889233,0.9333634168504912,-0.49997177000583565,1.1348535581251764,0.5002497537970093,0.5952022754777577,0.1485258679299534,0.5001079187135511,-0.1543657006239205,0.500110222689468,0.046601226427060036,0.4626828774889424
272,0.07493423915921367,0.34118307610078424,0.9797997564781111,0.2186425957113854,0.13034882550449362,-0.2513690447287163,0.9338191486483661,-0.5000029809844364,1.1348209441516972,0.5002645126275921,0.5955705996835199,0.14843218543931286,0.5000973852963657,-0.15439442855268157,0.5000167814266525,0.046558848718658986,0.46269735499033204
280,0.07519972453726619,0.33838262759006577,0.9787945342495914,0.217619756977341,0.12999348383325307,-0.2502556763699233,0.9344064597265203,-0.5000003695779027,1.1347799712520699,0.5002558163101508,0.5959218204723811,0.14563615232411678,0.5000851321307143,-0.15441266341656118,0.5000013273825927,0.04651783109860016,0.46272220866330527
288,0.07550246283242257,0.334990376703238,0.9776324527934174,0.21643118626834118,0.12956088567507085,-0.2489135478532829,0.9351008310383759,-0.5000008203256642,1.1347484300407074,0.5002450773978208,0.5962345762402919,0.13983888190989627,0.5000748255721191,-0.1544356771913542,0.5000413582857699,0.046481271725459454,0.46273872575842323
296,0.07585612383765204,0.3310350879399692,0.9763146521036902,0.2150487587914589,0.1290517535024862,-0.24736548376038964,0.9359006323879554,-0.5000004101229527,1.1347123867182658,0.5002422818348715,0.5965427349482073,0.1331268816796895,0.5000701275047436,-0.15445481928814958,0.5000065713665895,0.046445068549293846,0.462759366616825
304,0.07626115576414959,0.32657312505609387,0.974863843259735,0.21349521656359727,0.12847419933436774,-0.24563049354956107,0.9367923106262428,-0.4999954437343759,1.1346719582791023,0.5002453658608408,0.5968421402783198,0.1255921324433187,0.5000669142832983,-0.15446963319946816,0.5000005898140801,0.046408296602463046,0.4627845643151912
312,0.07671608908471239,0.3216680200574254,0.973309209226591,0.2117870661638325,0.1278377438236196,-0.24373247649305654,0.9377623524978835,-0.4999966031429263,1.13463388838753,0.5002484438213727,0.5971327538571037,0.11735203301411948,0.5000649745266061,-0.15448662919154965,0.5000089054771737,0.046371446085067484,0.4628071018309612
320,0.07721813900180532,0.3163895255362459,0.9716826369823695,0.20994302801893494,0.1271533048145602,-0.2417010534634856,0.9387952720458372,-0.49999631390363053,1.134593318600236,0.5002538577726324,0.5974125719404202,0.10854507958602681,0.5000629717932554,-0.1545014906183055,0.5000012720917464,0.046333534554116554,0.4628321990940522
328,0.0777639823939803,0.31081383588553313,0.970013262877953,0.20798680275254916,0.1264315557487531,-0.23956540574219037,0.9398749746446609,-0.49999707175629166,1.1345514500010294,0.5002605411510637,0.5976804534348601,0.09930557830548853,0.5000612181104226,-0.15451537302153728,0.500001378155126,0.046294427539863306,0.46285853947690486
336,0.07832078794128558,0.3051708733044598,0.9684118604041018,0.2059053169919215,0.12571564367068,-0.23741519677027778,0.9409742832370358,-0.5000013094518847,1.1345117322470124,0.5002083906953092,0.5980385366785547,0.09010101248192744,0.500087094878761,-0.15599552410369033,0.5000731219808668,0.046259703292597584,0.462884147371598
344,0.07842653545167706,0.3010006822294743,0.9679229617377265,0.20368956956043652,0.12535375419421377,-0.23630995835218638,0.9417826708669516,-0.4999976903302053,1.1344762235253363,0.5001938755566376,0.5983621838766877,0.08582494500223616,0.5000832291618336,-0.15601778868126484,0.5000207396817438,0.04622852600872266,0.4629068998604138
352,0.07830026214329285,0.298234032680017,0.9675585136361687,0.20215240338191465,0.12517295782483145,-0.23567855621228062,0.9422960015716895,-0.499996740038182,1.1344314456302804,0.5001640626857177,0.5987300474263442,0.0856356038273407,0.5000894793851528,-0.1560329643234914,0.5000137472325937,0.04619817759996361,0.46293786506950463
360,0.07806250622202664,0.2968887895716692,0.9673390653713929,0.20131282366387002,0.12516308618535005,-0.23533628040399585,0.9425625623854631,-0.49999486155669337,1.134384895298347,0.5001455886616004,0.5991152067992694,0.08555770255713938,0.5000963496289488,-0.15604460979197174,0.5000138955040374,0.04617061813321141,0.4629706474730535
368,0.07793516836504341,0.29676255205317953,0.9672367282026254,0.20106079383664338,0.12524897908771515,-0.235192507326437,0.9426408302830764,-0.49997213076724845,1.1343377448332042,0.5001453878832391,0.5995401150525415,0.0854201680119703,0.5001170608164338,-0.15604467233487695,0.5000156294967912,0.04615269707125702,0.46300585391754806
376,0.07784317532159014,0.2968014634852003,0.9671492403999434,0.20088515182201308,0.1253454104019591,-0.2350524880365641,0.9427003828027397,-0.4999343327974024,1.1342958981338682,0.5001449673413034,0.599974486520904,0.08526092768755075,0.5001275226312507,-0.1560403895435439,0.500015663592174,0.04614014100394669,0.46303763600092307
384,0.07775084948794232,0.2968403488050838,0.9670616896785754,0.20070869065137423,0.12544406500894223,-0.23491154979535453,0.9427599757222344,-0.49989390348758056,1.1342553695149018,0.500145354809611,0.600410083647924,0.08510377198574817,0.5001317611515056,-0.15603641371631233,0.5000157696110034,0.04612742732163728,0.46306864091985006
